rating,numVotes_x,title,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genre,age,startYear_y,rating_y,numVotes_y
8.2,116222.0,30 Rock,30 Rock,0,2006,2013,22,Comedy,TV-14,2012,6.6,80
6.4,7.0,30 Rock,30 Rock,0,1983,\N,\N,Sport,TV-14,2012,6.6,80
6.4,7.0,30 Rock,30 Rock,0,1983,\N,\N,Sport,TV-14,2012,6.6,80
6.3,1600.0,Little Einsteins,Little Einsteins,0,2005,2010,\N,"Adventure,Animation,Comedy",TV-Y,2007,7.0,80
6.3,1600.0,Little Einsteins,Little Einsteins,0,2005,2010,\N,"Adventure,Animation,Comedy",TV-Y,2007,7.0,80
6.3,1600.0,Little Einsteins,Little Einsteins,0,2005,2010,\N,"Adventure,Animation,Comedy",TV-Y,2007,7.0,80
6.3,1600.0,Little Einsteins,Little Einsteins,0,2005,2010,\N,"Adventure,Animation,Comedy",TV-Y,2007,7.0,80
8.6,59895.0,Friday Night Lights,Friday Night Lights,0,2006,2011,44,"Drama,Sport",TV-PG,2010,8.1,80
8.6,675641.0,Dexter,Dexter,0,2006,2013,53,"Crime,Drama,Mystery",TV-MA,2013,9.5,80
8.6,219419.0,Mad Men,Mad Men,0,2007,2015,47,Drama,TV-14,2014,7.5,80
7.9,70634.0,Burn Notice,Burn Notice,0,2007,2013,44,"Action,Crime,Drama",TV-14,2013,8.5,80
8.0,39449.0,Phineas and Ferb,Phineas and Ferb,0,2007,2015,15,"Action,Animation,Comedy",TV-G,2012,8.9,80
8.0,39449.0,Phineas and Ferb,Phineas and Ferb,0,2007,2015,15,"Action,Animation,Comedy",TV-G,2012,8.9,80
7.4,7317.0,Army Wives,Army Wives,0,2007,2013,60,"Drama,Romance,War",TV-14,2013,6.1,80
9.4,1584010.0,Breaking Bad,Breaking Bad,0,2008,2013,49,"Crime,Drama,Thriller",TV-MA,2013,9.7,80
9.4,1584010.0,Breaking Bad,Breaking Bad,0,2008,2013,49,"Crime,Drama,Thriller",TV-MA,2013,9.7,80
9.4,1584010.0,Breaking Bad,Breaking Bad,0,2008,2013,49,"Crime,Drama,Thriller",TV-MA,2013,9.7,80
8.3,175149.0,Californication,Californication,0,2007,2014,28,"Comedy,Drama",TV-MA,2014,6.3,80
6.7,23960.0,Private Practice,Private Practice,0,2007,2013,60,"Comedy,Drama,Romance",TV-14,2012,8.8,80
5.8,58.0,Sherlock,Sherlock,0,2019,\N,\N,Crime,TV-14,2016,9.5,80
5.8,58.0,Sherlock,Sherlock,0,2019,\N,\N,Crime,TV-14,2016,9.5,80
5.8,58.0,Sherlock,Sherlock,0,2019,\N,\N,Crime,TV-14,2016,9.5,80
9.1,850386.0,Sherlock,Sherlock,0,2010,2017,88,"Crime,Drama,Mystery",TV-14,2016,9.5,80
9.1,850386.0,Sherlock,Sherlock,0,2010,2017,88,"Crime,Drama,Mystery",TV-14,2016,9.5,80
9.1,850386.0,Sherlock,Sherlock,0,2010,2017,88,"Crime,Drama,Mystery",TV-14,2016,9.5,80
7.9,48035.0,Leverage,Leverage,0,2008,2012,42,"Crime,Mystery,Thriller",TV-PG,2012,8.6,80
6.1,741.0,Super Why!,Super Why!,0,2007,2016,30,"Animation,Family",TV-Y,2015,6.8,80
6.1,741.0,Super Why!,Super Why!,0,2007,2016,30,"Animation,Family",TV-Y,2015,6.8,80
6.1,741.0,Super Why!,Super Why!,0,2007,2016,30,"Animation,Family",TV-Y,2015,6.8,80
5.0,19624.0,The Secret Life of the American Teenager,The Secret Life of the American Teenager,0,2008,2013,43,"Comedy,Drama,Family",TV-14,2013,8.1,80
5.0,19624.0,The Secret Life of the American Teenager,The Secret Life of the American Teenager,0,2008,2013,43,"Comedy,Drama,Family",TV-14,2013,8.1,80
5.0,19624.0,The Secret Life of the American Teenager,The Secret Life of the American Teenager,0,2008,2013,43,"Comedy,Drama,Family",TV-14,2013,8.1,80
5.0,19624.0,The Secret Life of the American Teenager,The Secret Life of the American Teenager,0,2008,2013,43,"Comedy,Drama,Family",TV-14,2013,8.1,80
7.7,25713.0,Nurse Jackie,Nurse Jackie,0,2009,2015,27,"Comedy,Drama",TV-MA,2015,8.2,80
7.7,25713.0,Nurse Jackie,Nurse Jackie,0,2009,2015,27,"Comedy,Drama",TV-MA,2015,8.2,80
5.5,39664.0,The Cleveland Show,The Cleveland Show,0,2009,2013,22,"Adventure,Animation,Comedy",TV-14,2012,8.8,80
6.1,43371.0,90210,90210,0,2008,2013,60,"Comedy,Drama,Romance",TV-14,2013,6.2,80
6.1,43371.0,90210,90210,0,2008,2013,60,"Comedy,Drama,Romance",TV-14,2013,6.2,80
6.1,43371.0,90210,90210,0,2008,2013,60,"Comedy,Drama,Romance",TV-14,2013,6.2,80
8.0,114668.0,Lie to Me,Lie to Me,0,2009,2011,43,"Crime,Drama,Mystery",TV-14,2010,8.9,80
8.0,114668.0,Lie to Me,Lie to Me,0,2009,2011,43,"Crime,Drama,Mystery",TV-14,2010,8.9,80
8.0,114668.0,Lie to Me,Lie to Me,0,2009,2011,43,"Crime,Drama,Mystery",TV-14,2010,8.9,80
5.2,235.0,Lab Rats,Lab Rats,0,2008,\N,29,Comedy,TV-Y7,2016,8.5,80
8.6,231723.0,Parks and Recreation,Parks and Recreation,0,2009,2015,22,Comedy,TV-14,2015,9.4,80
8.6,231723.0,Parks and Recreation,Parks and Recreation,0,2009,2015,22,Comedy,TV-14,2015,9.4,80
8.6,231723.0,Parks and Recreation,Parks and Recreation,0,2009,2015,22,Comedy,TV-14,2015,9.4,80
8.6,231723.0,Parks and Recreation,Parks and Recreation,0,2009,2015,22,Comedy,TV-14,2015,9.4,80
8.6,231723.0,Parks and Recreation,Parks and Recreation,0,2009,2015,22,Comedy,TV-14,2015,9.4,80
7.3,5858.0,10 Things I Hate About You,10 Things I Hate About You,0,1999,2010,30,Comedy,PG-13,1999,6.8,80
6.7,141328.0,Glee,Glee,0,2009,2015,44,"Comedy,Drama,Music",TV-PG,2015,9.2,80
6.7,141328.0,Glee,Glee,0,2009,2015,44,"Comedy,Drama,Music",TV-PG,2015,9.2,80
6.7,141328.0,Glee,Glee,0,2009,2015,44,"Comedy,Drama,Music",TV-PG,2015,9.2,80
6.7,141328.0,Glee,Glee,0,2009,2015,44,"Comedy,Drama,Music",TV-PG,2015,9.2,80
8.0,10.0,Scandal,Scandal,0,2008,\N,\N,Drama,TV-14,2016,9.2,80
8.0,10.0,Scandal,Scandal,0,2008,\N,\N,Drama,TV-14,2016,9.2,80
8.0,10.0,Scandal,Scandal,0,2008,\N,\N,Drama,TV-14,2016,9.2,80
8.0,10.0,Scandal,Scandal,0,2008,\N,\N,Drama,TV-14,2016,9.2,80
7.7,69602.0,Scandal,Scandal,0,2012,2018,43,"Drama,Thriller",TV-14,2016,9.2,80
7.7,69602.0,Scandal,Scandal,0,2012,2018,43,"Drama,Thriller",TV-14,2016,9.2,80
7.7,69602.0,Scandal,Scandal,0,2012,2018,43,"Drama,Thriller",TV-14,2016,9.2,80
7.7,69602.0,Scandal,Scandal,0,2012,2018,43,"Drama,Thriller",TV-14,2016,9.2,80
8.2,123714.0,White Collar,White Collar,0,2009,2014,40,"Comedy,Crime,Drama",TV-PG,2014,9.3,80
8.2,123714.0,White Collar,White Collar,0,2009,2014,40,"Comedy,Crime,Drama",TV-PG,2014,9.3,80
8.2,123714.0,White Collar,White Collar,0,2009,2014,40,"Comedy,Crime,Drama",TV-PG,2014,9.3,80
7.7,297228.0,The Vampire Diaries,The Vampire Diaries,0,2009,2017,43,"Drama,Fantasy,Horror",TV-14,2017,9.1,80
7.7,297228.0,The Vampire Diaries,The Vampire Diaries,0,2009,2017,43,"Drama,Fantasy,Horror",TV-14,2017,9.1,80
7.7,297228.0,The Vampire Diaries,The Vampire Diaries,0,2009,2017,43,"Drama,Fantasy,Horror",TV-14,2017,9.1,80
7.7,297228.0,The Vampire Diaries,The Vampire Diaries,0,2009,2017,43,"Drama,Fantasy,Horror",TV-14,2017,9.1,80
7.7,297228.0,The Vampire Diaries,The Vampire Diaries,0,2009,2017,43,"Drama,Fantasy,Horror",TV-14,2017,9.1,80
7.7,297228.0,The Vampire Diaries,The Vampire Diaries,0,2009,2017,43,"Drama,Fantasy,Horror",TV-14,2017,9.1,80
5.2,39.0,Luther,Luther,0,2021,\N,\N,"Drama,Mystery,Thriller",TV-14,2015,6.9,80
8.4,127481.0,Luther,Luther,0,2010,2019,60,"Crime,Drama,Mystery",TV-14,2015,6.9,80
7.5,14263.0,Life Unexpected,Life Unexpected,0,2010,2011,60,Drama,TV-PG,2010,5.5,80
8.6,629.0,Stranger Things,Stranger Things,0,2008,2009,30,Sci-Fi,TV-14,2016,9.0,80
8.7,911340.0,Stranger Things,Stranger Things,0,2016,\N,51,"Drama,Fantasy,Horror",TV-14,2016,9.0,80
8.2,900830.0,The Walking Dead,The Walking Dead,0,2010,2022,44,"Drama,Horror,Thriller",TV-MA,2015,9.8,80
8.2,900830.0,The Walking Dead,The Walking Dead,0,2010,2022,44,"Drama,Horror,Thriller",TV-MA,2015,9.8,80
7.4,157452.0,Pretty Little Liars,Pretty Little Liars,0,2010,2017,44,"Drama,Mystery,Romance",TV-14,2016,9.6,80
